A-share,"A-shares are shares of Chinese companies listed on either the Shanghai or Shenzhen stock exchanges. They are denominated in renminbi and were originally only available to domestic investors. In 2002 foreign entities were able to gain a small amount of access via quotas issued to qualified foreign institutional investors (QFII). The term A-share is also used to refer to a share class. Companies might issue shares with different voting rights, for example. See A/B/C share.   A-shares in the news In November 2012 an FT writer compared the fortunes of the A-shares on the Shanghai stock exchange with the H-shares listed in Hong Kong. The Shanghai Composite was reported to be two thirds down from its peak while Chinese shares listed in Hong Kong, known as H-shares or red chips had risen 15 per cent since the end of August. In March 2013, a commentator thought the widening of the QFII scheme bringing in more foreign participants might help rationalise the A-share market."
A-share/B-share markets,"Mainland China's two stock exchanges, in Shanghai and Shenzhen, both have A- and B-share markets. The key distinction is that A-shares are denominated in renminbi and B-shares in foreign currency (US dollars in Shanghai and Hong Kong dollars in Shenzhen). For a long time, the other main difference between the two, from a regulatory standpoint, was that the A-share market was closed to foreign investors while the B-share market was open only to foreigners. However in 2001, the Chinese authorities tried to boost the B-share market by opening it to individual Chinese investors. And in 2003, a scheme was introduced whereby select foreign institutions were allowed to buy A-shares. Some companies have their stocks listed on both boards, but their B-shares trade at a large discount to their A-shares, which tend to see much larger trading volumes."
A1,"In the Lloyds Register of shipping, an A1 ship is of the highest quality or in excellent condition. The classification is derived from the original grades given in letters for the state of a ship's hull and a grade given in numbers for the condition of a ship's mast and rigging."
AA,Advertising Association - a professional association of British organizations representing companies and people involved in advertising.  [1]
AAA,Abbreviation for American Accounting Association. [1] 
AAA rating,"A credit rating that can be given to a share, bond, or bank by US credit rating agencies such as Standard and Poor's or Moody's, indicating that it is considered to be a very safe investment. [1] "
ABC,Abbreviation for Audit Bureau of Circulation. [1] 
ABC method,"A method of keeping a record of materials and stock that a company has, in which more time and attention is given to high-value items (class A), less to mid-value items (class B), and the least to low-value items (class C). [1] "
ABC1,The top three social and economic groups in society - used especially in marketing surveysof what kind of person buys a product. [1] 
ABCDSs,This lengthy acronym represents credit default swaps based on asset-backed securities. They are a type of insurance against default on the underlying security.  [1]
ABS,Abbreviation for asset-backed securities ABS. Abbreviation for American Bureau of Shipping. [1] 
ACA,Associate of the Institute of Chartered Accountants; used after someone's name to show that they are a member of this organization. [1] 
ACAS,"Advisory, Conciliation and Arbitration Service; a government organization in Britain that attempts to solve disagreements between employers and employees. [1] "
ACCA,"Association of Chartered Certified Accountants; a British professional organization for accountants, which gives qualifications to people who pass its examinations. [1] "
ACE,Abbreviation for Active Corps of Executives. [1] 
ACORN,A Classification of Residential Neighbourhoods; a system in Britain of putting areas of the country into different classes according to the incomes of the people who live there. [1] 
ACRS,Abbreviation for accelerated cost recovery system. [1] 
ADB,Abbreviation for Asian Development Bank. [1] 
ADR,See American Depository Receipt
ADS,See American Depository Share
ADSL,Asymmetric digital subscriber line; a system that makes it possible for large amounts of digital information to be sent to computers through ordinary telephone lines at very high speed. [1] 
AEA,Abbreviation for American Economics Association. [1] 
AEI,Abbreviation for average earnings index. [1] 
AER,"Annual equivalent rate; a rate of interest which shows how much interest you receive from an investment in one year if each interest payment is added to the deposit before the following year's payment is calculated. [1] AER - or the annual equivalent rate - not only takes into account the interest rate of a savings account, for example, but how often that interest is paid. Normally bank and building society accounts pay interest annually and, when this happens, the AER will be the same as the gross (before-tax) rate of interest. If, however, the same interest rate is paid more frequently, such as monthly, the AER will be higher. AER shows the true cost of a finance deal when either money is being borrowed or saved. ExampleA savings account providing an interest rate of 4.65 per cent paid monthly actually has an AER of 4.75 per cent not 4.65 per cent. If the interest in paid annually the AER will also be 4.65 per cent. So if, for example, you are trying to find the best savings account make sure you compare like with like, i.e. a gross savings rate with another gross savings rate or an AER with another AER. [2]"
AFL-CIO,"American Federation of Labor and Congress of Industrial Organizations; the professional organization for labour unions in the US, which represents them in discussions with the government, employers etc. [1] "
AFL-CIO,"American Federation of Labor and Congress of Industrial Organizations; the professional organization for labour unions in the US, which represents them in discussions with the government, employers etc. [1] "
AGI,Abbreviation for adjusted gross income. [1] 
AGM,Abbreviation for annual general meeting. [1] 
AI,Abbreviation for artificial intelligence. [1] 
AICPA,Abbreviation for American Institute of Certified Public Accountants. [1] 
